objectid,title,location,format,date,filename,language,subject,descripction,latitude (N),longitude (E)
071,Schloss Schönbrunn: Mesa de la corte ,"Viena, Austria ",application/pdf,,Fotos/59-83.Austria/071.pdfapplication/pdf,de,Palacio de Schönbrunn; interior; Colección Instituto geográfico de Viena; Francisco José I; Gran Galería; Mesa; Corte imperial,"Mesa de la corte  imperial puesta, correspondiente al periodo en el que el emperador Francisco José I vivió. Esta mesa se encuentra en la gran galería dentro del palacio de Schönbrunn. Colección Instituto geográfico de Viena.Color: sepia, medidas: 9x14cm",48.18479,16.31227
072,Schloss Schönbrunn: Gabinete Chino Redondo,"Viena, Austria ",application/pdf,,Fotos/59-83.Austria/072.pdfapplication/pdf,de,Palacio de Schönbrunn; interior; Colección Instituto geográfico de Viena,"Gabinete Chino Redondo. Recubierto con paneles de lacado antiguo y decorado accesorios de porcelana china y japonesa. Durante la época de  María Teresa  se usó este cuarto como salón de despensa .Palacio de Schönbrunn. Colección Instituto geográfico de Viena.Color: sepia, medidas: 9x14cm",48.18479,16.31227
073,Schloss Schönbrunn: Cuarto de María Antonieta ,"Viena, Austria ",application/pdf,,Fotos/59-83.Austria/073.pdfapplication/pdf,de,"Palacio de Schönbrunn; Colección Instituto geográfico de Viena; María Antonieta; Cuarto; Francisco I, Emperador de Austria; Retrato; Orden del Toisón de Oro","Foto del Cuarto de María Antonieta en el Palacio de Schönbrunn en donde se encuentra un retrato de tamaño real del emperador Francisco I de Austria con su atuendo de la Orden del Toisón de Oro . Colección Instituto geográfico de Viena.Color: sepia, medidas: 9x14cm",48.18479,16.31227
074,"Schloss Schönbrunn: Presbiterio de la Capilla ""La boda de María""","Viena, Austria ",application/pdf,,Fotos/59-83.Austria/074.pdfapplication/pdf,de,Palacio de Schönbrunn; interior; Colección Instituto geográfico de Viena; Capilla; Boda; María; Religión; Consagrar; Presbiterio,"Foto de vista al presbiterio de la capilla del castillo, consagrada a la ""Boda de María"" .Palacio de Schönbrunn. Colección Instituto geográfico de Viena.Color: sepia, medidas: 9x14cm",48.18479,16.31227
075,Schloss Schönbrunn: Mesa de la Corte ,"Viena, Austria ",application/pdf,,Fotos/59-83.Austria/075.pdfapplication/pdf,de,Palacio de Schönbrunn; interior; Colección Instituto geográfico de Viena; Francisco José I; Gran Galería; Mesa; Corte imperial,"Foto de la mesa de la corte  puesta desde otro angulo, correspondiente al periodo en el que el emperador Francisco José I vivió. Esta mesa se encuentra en la gran galería dentro del palacio de Schönbrunn. Colección Instituto geográfico de Viena.Color: sepia, medidas: 9x14cm",48.18479,16.31227
076,Schloss Schönbrunn: Cuarto de Napoleón,"Viena, Austria ",application/pdf,,Fotos/59-83.Austria/076.pdfapplication/pdf,de,Palacio de Schönbrunn; Napoleón; Cuarto de Napoleón; Duque de Reichstadt; Hijo de Napoleón; Muerte ; El rey de Roma; Colección Instituto geográfico de Viena,"Cuarto de Napoleón donde el emperador vivió de 1805 a 1809 y donde su hijo el Duque de Reichstadt murió en 1832.Palacio de Schönbrunn. Colección Instituto geográfico de Viena.Color: sepia, medidas: 9x14cm",48.18479,16.31227
077,"Schloss Schönbrunn: Feligresía de la Capilla ""La boda de María""","Viena, Austria ",application/pdf,,Fotos/59-83.Austria/077.pdfapplication/pdf,de,Palacio de Schönbrunn; interior; Colección Instituto geográfico de Viena; Feligresía,"Foto de vista a la feligresía de la capilla del castillo, consagrada a la ""Boda de María"" .Palacio de Schönbrunn. Colección Instituto geográfico de Viena.Color: sepia, medidas: 9x14cm",48.18479,16.31227
078,Schloss Schönbrunn: Cuarto de los emperadores Francisco José I y Elisabeth,"Viena, Austria ",application/pdf,,Fotos/59-83.Austria/078.pdfapplication/pdf,de,Palacio de Schönbrunn; interior; Colección Instituto geográfico de Viena; Matrimonio Imperial; Cuarto; Emperador; Emperatriz; Francisco José I; Elisabeth,"Cuarto conjunto de los emperadores Francisco José I y la emperatriz Elisabeth Palacio de Schönbrunn. Colección Instituto geográfico de Viena.Color: sepia, medidas: 9x14cm",48.18479,16.31227
079,Schloss Schönbrunn: Sala de Tapices,"Viena, Austria ",application/pdf,,Fotos/59-83.Austria/079.pdfapplication/pdf,de,Palacio de Schönbrunn; interior; Colección Instituto geográfico de Viena; Tapices; Salon de gobelin ,"Salón Gobelin o sala de los tapices, tanto las paredes como los muebles fueron recubiertos con tapices de Bruselas, estos fueron  traídos en el siglo 18, .Palacio de Schönbrunn. Colección Instituto geográfico de Viena.Color: sepia, medidas: 9x14cm",48.18479,16.31227
080,Schloss Schönbrunn: Figura de Hércules,"Viena, Austria ",application/pdf,,Fotos/59-83.Austria/080.pdfapplication/pdf,de,Palacio de Schönbrunn; Colección Instituto geográfico de Viena; escultura; Herculés; Leon de Nemea; Vestíbulo; Cultura Griega; Mitos; Arte,"Escultura en el vestíbulo del palacio que representa la escena en la que Hércules mata al león de Nemea.Palacio de Schönbrunn. Colección Instituto geográfico de Viena.Color: sepia, medidas: 9x14cm",48.18479,16.31227
081,Schloss Schönbrunn: Salón de la emperatriz Elisabeth,"Viena, Austria ",application/pdf,,Fotos/59-83.Austria/081.pdfapplication/pdf,de,Palacio de Schönbrunn; interior; Colección Instituto geográfico de Viena; Emperatriz; Elisabeth; Recepción; Salón de la emperatriz,"Este salón fue usado como el salón de recepción de la emperatriz Elisabeth y entre sus apartamentos era el de más alta clase.Palacio de Schönbrunn. Colección Instituto geográfico de Viena.Color: sepia, medidas: 9x14cm",48.18479,16.31227
082,Schloss Schönbrunn: Salón de Nuez,"Viena, Austria ",application/pdf,,Fotos/59-83.Austria/082.pdfapplication/pdf,de,Palacio de Schönbrunn; interior; Colección Instituto geográfico de Viena; Audiencias especiales; Audiencias privadas; emperador; emperador Francisco José I; Salón Nuez; Salón de Audiencias; Rococó,"El salón de audiencias o tambien conocido como Salón de Nuez por su decoración de tipo Rococó café. Es un lugar en el que Francisco José I concedía audiencias privadas a monarcas; miembros del gobierno, altos cargos militares y miembros importantes de la corte. Palacio de Schönbrunn. Colección Instituto geográfico de Viena.Color: sepia, medidas: 9x14cm",48.18479,16.31227
083,Schloss Schönbrunn: Cuarto Ketterl,"Viena, Austria ",application/pdf,,Fotos/59-83.Austria/083.pdfapplication/pdf,de,Palacio de Schönbrunn; interior; Colección Instituto geográfico de Viena; Muerte; Cuarto;  Francisco José I; Eugenio Ketterl; Valet chambre; Ayuante de cuarto,"El cuarto de Ketterl llamado asi por Eugenio Ketterl, el ayudante de cuarto del emperador. Este salón era donde el emperador Francisco José I dormía y en donde murió .Palacio de Schönbrunn. Colección Instituto geográfico de Viena.Color: sepia, medidas: 9x14cm",48.18479,16.31227
084,Bruxelles. La Gare du Nord,"Bruselas, Bélgica",application/pdf,,Fotos/84-98.Bélgica/084.pdf,fr,Bruselas; Urbano; Estación ,"Imagen antigua de la estación del norte de Bruselas. Color: sepia, medidas: 9x14cm",50.86,4.361667
085,Bruxelles. Place Royale,"Bruselas, Bélgica",application/pdf,,Fotos/84-98.Bélgica/085.pdf,fr,Bruselas; Plaza Real,"Foto antigua de la Plaza Real de Bruselas. Color: sepia, medidas: 9x14cm",50.842222,4.359444
086,Bruxelles. Chaire de l´eglise Ste-Gudule,"Bruselas, Bélgica",application/pdf,,Fotos/84-98.Bélgica/086.pdf,fr,Bruselas; Catedral; Catedral San Miguel y Santa Gúdula; Trono; púlpito ,"Púlpito de madera que está dentro de la  Catedral de San Miguel y Santa Gúdula en Bruselas. Color: sepia, medidas: 9x14cm",50.847778,4.360278
087,Bruxelles. Maison des anciens ducs de Brabant,"Bruselas, Bélgica",application/pdf,,Fotos/84-98.Bélgica/087.pdf,fr,"Bruselas; Nobleza; Brabante, ","Casa de los antiguos duques de Brabante en Bruselas ,Color: sepia, medidas: 9x14cm",50.846389,4.353056
088,Bruxelles. Arcade du Cinquantenaire,"Bruselas, Bélgica",application/pdf,,Fotos/84-98.Bélgica/088.pdf,fr,Bruselas; Arco del Triunfo; Cincuentenario; Parque Cincuentenario; Arco Cincuentenario; Parque,"Arco del Triunfo en el parque Bicentenario en Bruselas mejor conocido como Arco del Cincuentenario. Color: sepia, medidas: 9x14cm",50.840278,4.392778
089,Bruxelles. Maison des Tailleurs et la maison de Victor Hugo,"Bruselas, Bélgica",application/pdf,,Fotos/84-98.Bélgica/089.pdf,fr,Bruselas; Sastrería; Maison; Víctor Hugo,"Casa de los sastres y de Víctor Hugo en Bruselas. Color: sepia, medidas: 9x14cm",50.846667,4.353056
090,Bruxelles. Maison du Roi de Baivère et la maison des Brasseurs,"Bruselas, Bélgica",application/pdf,,Fotos/84-98.Bélgica/090.pdf,fr,Bruselas; Casa; Rey de Baviera; Cerveceros,"Casa del Rey de Baviera y de los Cerveceros en Bruselas. Color: sepia, medidas: 9x14cm",50.846111,4.352778
091,Bruxelles. Place de Broukère,"Bruselas, Bélgica",application/pdf,,Fotos/84-98.Bélgica/091.pdf,fr,Bruselas; Plaza de Broukère,"Foto de la plaza de Broukère en Bruselas, Color: sepia, medidas: 9x14cm",50.851389,4.3525
092,Bruxelles. Maison des Corporations,"Bruselas, Bélgica",application/pdf,,Fotos/84-98.Bélgica/092.pdf,fr,Bruselas; Casa de corporaciones,"Casa de Corporaciones en Bruselas, Color: sepia, medidas: 9x14cm",50.408333,4.441111
093,Bruxelles. Monument Anspach,"Bruselas, Bélgica",application/pdf,,Fotos/84-98.Bélgica/093.pdf,fr,Bruselas; Monumento; Anspach; fuente Anspach,"Fuente de Anspach, Color: sepia, medidas: 9x14cm",50.853611,4.346944
094,Le Roi et La Reine des Belges et Leurs Enfants,"Bruselas, Bélgica",application/pdf,,Fotos/84-98.Bélgica/094.pdf,fr,Bruselas; Familia Real; Realeza; Realeza Bélgica,"Foto familiar del rey y la reina de los belgas y sus hijosColor: sepia, medidas: 9x14cm",50.846667,4.351667
095,Bruxelles. Palais des Beaux-Arts,"Bruselas, Bélgica",application/pdf,,Fotos/84-98.Bélgica/095.pdf,fr,Bruselas; Palacio; Bellas Artes,"Palacio de bellas artes de Bruselas. Color: sepia, medidas: 9x14cm",50.843714,4.359775
096,Bruxelles. Théâtre de la Monnaie,"Bruselas, Bélgica",application/pdf,,Fotos/84-98.Bélgica/096.pdf,fr,Bruselas; Teatro; Teatro Real; Teatro Real de la Moneda,"Foto de la fachada del Teatro Real de la Moneda en Bruselas. Color: sepia, medidas: 9x14cm",50.849583,4.354167
097,Bruxelles. Palais de Justice (Panorama),"Bruselas, Bélgica",application/pdf,,Fotos/84-98.Bélgica/097.pdf,fr,Bruselas; Panorama; Vista; Palacio de la Justicia; Ciudad,"Foto del panorama del Palacio de la Justicia y el palacio en sí. Color: sepia, medidas: 9x14cm",50.836667,4.351667
098,Bruxelles. Porte de Hal,"Bruselas, Bélgica",application/pdf,,Fotos/84-98.Bélgica/098.pdf,fr,Bruselas; Edad Media; Medievo; Puerta de Halle; Muralla; Medieval,"Foto de la puerta de Halle. Esta puerta es la ultima prueba de la muralla medieval en Bruselas. Color: sepia, medidas: 9x14cm",50.833015,4.344894
099,"Sschveningen Wandelhoofd: ,,Koningin Wilhelmina""","La Haya, Países Bajos",application/pdf,,Fotos/99-100.Paises Bajos/099.pdf,nl,La Haya; Mar; Marítimo; Sperrgebiet; Reina Guillermina; Rey Enrique; Muelle; Nazi; Segunda Guerra Mundial; incendio; Patrimonio extinto; Paseo; Pabellón; Mar,"Muelle de Paseo con un pabellón en medio creado por el príncipe Enrique para su esposa la reina Guillermina. Este muelle se inauguró  en 1901 tras varias protestas en su contra por más de treinta años bajo varias condiciones. En la Segunda Guerra Mundial fue ocupada por los Nazis como ""Sperrgebiet "" y tras un incendio en 1943 fue destruido. en Color: sepia, medidas: 9x14cm",52.1171,4.280425
100,S-Gravenhage Koninklijk Paleis,"La Haya, Países Bajos",application/pdf,,Fotos/99-100.Paises Bajos/100.pdf,nl,La Haya; Palacio; Realeza; Realeza Holandesa; ,"Foto del Palacio Noordeinde , uno de los cuatro palacios de la realiza neerlandesa. Color: sepia, medidas: 9x14cm",52.080917,4.306136
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,-,,,,,,,,,
,,,,,,,,,,
,-,,,,,,,,,
,,,,,,,,,,
,-,,,,,,,,,
,,,,,,,,,,
,-,,,,,,,,,
,,,,,,,,,,
,-,,,,,,,,,
,,,,,,,,,,
,-,,,,,,,,,
,,,,,,,,,,
,-,,,,,,,,,
,,,,,,,,,,
,-,,,,,,,,,
,,,,,,,,,,
,-,,,,,,,,,
,,,,,,,,,,
,-,,,,,,,,,
